Case #1: 125
9 32 83908
18 26 340001
16 7 56185
8 7 120535
15 16 70635
22 9 182030
5 33 149666
10 20 44364
33 23 61326
5 1 194134
31 26 266163
5 4 154446
21 17 213515
5 9 144403
3 28 103444
15 14 199190
30 2 103436
4 12 145182
16 10 162808
11 32 236232
4 29 225305
18 15 81338
21 7 51796
2 27 112988
21 6 77024
29 13 194965
22 12 191082
28 13 209033
13 14 117922
17 2 239982
22 5 181774
27 21 118866
4 8 187182
10 18 156318
8 6 124989
30 5 201347
3 11 132336
2 26 238706
4 13 208050
1 28 90038
19 4 141890
17 16 194673
19 25 155029
32 12 146617
33 3 64133
21 15 134324
1 31 137013
15 30 184931
1 11 121076
18 14 209778
23 6 128876
22 18 206445
1 18 210851
17 27 228789
17 7 161719
15 17 137567
16 11 157638
18 25 274163
13 30 176907
26 19 181985
11 22 85690
17 13 107889
15 1 200263
23 14 15140
16 6 81413
22 25 73723
18 13 266904
23 26 209395
14 6 113736
1 6 114809
2 25 220962
5 18 51393
10 19 82001
29 2 154962
23 11 135143
26 14 199504
5 24 41906
1 33 77539
10 1 134836
1 9 72276
3 19 39429
5 6 79325
26 7 248290
25 29 317302
4 23 105268
30 26 163802
31 24 169765
31 23 120800
32 33 89171
23 1 16213
32 7 178592
11 8 217057
Case #189: 346
12 16 114838
7 40 129316
6 38 130847
30 11 80543
22 40 186868
39 31 228820
29 34 181671
32 19 94426
12 15 189289
19 8 205400
29 13 113712
38 40 115049
22 12 125248
30 24 201476
32 9 116625
14 40 146660
25 1 68249
31 28 260340
14 21 85467
24 15 276893
16 3 103728
7 12 77620
7 15 112841
25 36 187669
1 35 197144
31 30 120138
17 25 153667
35 8 212783
1 30 148810
27 5 248601
20 17 177377
7 36 103174
1 5 244640
13 9 39358
3 34 143993
4 25 200230
22 5 244644
34 4 261695
11 5 224716
17 16 81400
3 35 182865
12 33 228887
20 1 113377
15 17 146924
2 12 62922
34 14 146437
34 40 246878
29 21 91417
29 26 73125
21 19 121555
24 10 216187
14 28 68387
38 14 86557
18 11 134946
3 29 37678
10 15 149477
36 3 157907
1 19 82095
20 12 52736
11 38 89371
7 2 14698
38 30 69147
3 17 94470
32 1 40889
20 28 131952
1 39 181433
12 26 42300
10 36 119683
4 18 195422
23 35 202795
27 32 32115
29 15 154814
18 38 103090
24 36 133906
19 25 150344
20 37 173872
27 39 151884
9 34 137731
36 4 180178
20 6 125267
38 4 129866
11 36 152262
1 4 131981
3 4 117702
18 21 51522
6 10 139185
6 35 169411
19 33 233145
38 20 111262
17 39 214554
33 21 111590
30 29 96853
28 25 195834
17 21 40731
35 34 235900
13 18 14119
30 5 245316
15 2 127539
32 2 38343
40 20 120036
33 13 101480
19 40 170701
18 14 33945
16 28 32909
7 8 57933
30 7 129631
35 19 250681
18 35 184782
21 5 176622
22 27 175314
10 26 26981
14 19 207022
8 20 90105
10 39 175615
18 6 27757
37 34 263772
34 5 237592
33 37 263796
11 37 218448
17 11 120892
8 16 44606
34 30 171334
26 13 122065
5 14 108567
17 32 121080
23 20 272485
15 1 206771
5 17 204967
30 26 169973
35 5 236802
16 11 133413
29 38 27706
27 8 143089
25 22 177915
38 8 95685
25 32 109138
21 36 104168
8 26 100541
10 7 88112
12 21 127064
31 16 227431
28 18 34442
13 10 149046
5 26 182568
27 17 153195
30 23 282997
28 5 159542
29 31 208439
9 24 106499
17 14 113812
13 21 37403
14 13 48064
5 13 139219
11 29 61665
26 16 109479
37 13 162333
3 33 165329
36 15 216015
16 25 162925
7 1 93930
9 2 90465
7 21 109142
7 4 144133
9 20 72271
20 15 137391
19 30 202347
3 32 26610
8 24 124333
38 1 79663
37 19 262277
25 39 249682
35 37 268416
13 16 12586
35 27 124140
21 35 145646
9 8 17834
37 40 188436
26 18 107946
12 28 147747
38 2 54981
23 17 242648
13 7 71739
29 39 129476
14 30 154161
36 30 172862
24 16 79727
31 38 189285
1 36 172186
4 11 163825
7 23 263529
36 22 154778
14 26 74001
38 34 209377
31 21 186762
36 2 117872
20 5 172132
17 9 105106
24 12 194565
17 34 130985
27 26 94167
25 24 242652
6 5 152857
32 38 38774
23 38 267498
15 16 197166
15 35 42009
39 12 165123
28 10 169369
25 3 82528
29 12 35647
6 23 178152
1 18 119540
32 28 163247
12 27 78830
16 32 130338
2 31 210664
29 27 43183
9 27 148740
22 18 170022
14 29 114263
7 22 119554
22 14 136077
27 31 165256
25 10 121948
6 31 210527
16 40 182138
11 22 70466
39 15 200344
38 22 138184
1 33 179608
19 4 185518
1 14 153485
21 34 90254
18 34 112492
36 32 144032
20 29 83556
11 33 222290
33 18 115582
7 33 173202
23 33 265977
29 33 203007
27 33 224054
35 28 219224
14 4 161477
34 32 170603
18 9 25239
39 8 145436
35 4 65163
32 29 11068
31 8 253899
31 4 106279
10 20 37417
23 36 251134
26 11 134785
32 11 72733
33 20 213092
11 40 149008
14 7 84473
3 5 230361
35 33 257236
6 8 70830
30 22 151009
28 36 87088
28 1 150916
28 3 136637
8 2 72631
24 23 284103
21 30 81080
3 40 102885
11 21 153082
29 22 132131
28 21 82898
20 3 99098
5 37 245801
1 34 158272
23 27 196609
25 38 147912
3 10 61681
23 2 267067
39 11 136591
40 32 76275
28 8 77515
9 40 155366
6 24 105951
19 28 204453
20 32 72488
12 23 219749
3 9 130500
10 16 136460
26 19 156478
26 25 94967
18 31 225898
15 27 166149
36 16 54179
27 6 136229
3 8 137584
11 19 167159
25 33 224526
29 16 126298
32 4 91092
9 11 124855
9 22 144783
23 18 205909
19 10 129497
27 38 70889
39 16 171828
12 34 217318
40 31 121096
17 22 191358
31 14 259843
19 31 291797
34 33 76511
7 28 117234
6 22 197779
14 12 79360
14 24 115205
34 8 155565
17 37 231147
16 22 171555
23 40 152449
15 31 83125
1 12 87604
4 8 188017
21 40 156624
40 8 173200
9 7 75767
40 36 165361
28 17 114309
13 4 206519
16 14 35478
35 11 177354
1 23 269613
21 26 142401
30 9 145455
24 33 193776
10 34 205674
7 26 115093
7 6 85377
40 25 185413
11 20 142978
5 15 194793
15 21 187655
40 30 184196
3 21 53739
37 22 246384
31 1 238260
Case #190: 18
4 11 815733
5 19 156013
11 8 549055
1 21 513610
20 2 690442
4 2 315088
16 7 381310
4 6 936674
10 9 514417
9 12 401701
18 6 319391
12 3 240243
20 9 428752
3 14 486277
13 1 468145
4 12 658220
3 10 352959
12 6 278454
Case #191: 96
9 11 205180
3 5 167203
12 4 461997
5 8 325592
2 10 62924
10 9 282886
13 17 285273
10 5 214572
12 15 349254
3 16 343699
8 12 14338
11 10 468216
14 10 229986
13 6 32486
15 16 214496
16 10 391068
15 4 288169
5 11 381220
3 17 316284
8 15 363592
7 2 142270
9 7 215696
11 4 553071
2 1 201019
10 3 47369
9 14 160626
7 15 108484
2 4 257166
2 15 226889
3 6 68434
1 10 233665
14 17 271725
7 16 216152
16 4 395837
13 4 277559
3 13 35948
15 13 119082
5 17 256311
3 12 220381
13 10 83317
14 3 182617
5 2 181926
15 14 53414
11 17 558141
5 14 15414
8 1 313857
12 2 292240
5 6 163741
14 2 197340
14 7 55070
1 13 150348
9 8 345095
10 15 202399
16 6 340237
8 10 282088
2 3 71859
9 17 432351
12 13 256329
6 7 124085
8 16 471260
9 2 219962
5 13 131255
14 1 3679
13 7 91599
14 12 295840
2 8 306578
8 7 362266
11 14 365806
1 9 164305
11 8 381211
7 3 127547
1 6 182834
1 4 231076
11 15 312392
16 13 307751
17 7 216655
7 1 58749
11 13 431474
16 17 432807
14 13 146669
14 4 234755
6 4 310045
13 2 107807
10 7 174916
8 6 303153
9 4 395381
16 5 176496
7 12 347928
12 5 311254
1 12 299519
17 1 275404
5 1 19093
12 11 366873
4 8 476330
14 16 161082
12 17 191268
Case #192: Impossible
Case #193: Impossible
Case #194: 181
3 22 222690
8 20 192547
14 11 234247
14 15 74392
1 11 224589
19 6 358224
17 16 308439
20 24 144063
14 12 187126
4 28 239125
27 12 145756
10 17 250467
28 27 244327
10 5 139883
23 17 145852
11 8 163902
23 6 154311
21 14 255375
13 19 347563
12 13 218527
17 1 98227
26 14 45853
11 10 191414
15 17 124542
24 17 111404
16 23 336719
4 13 223403
9 15 215869
24 16 354252
14 24 152960
15 1 26315
4 8 345649
22 26 9261
5 13 328770
27 11 90992
18 3 201768
28 8 227425
28 6 244461
28 22 212194
27 14 283301
5 24 247513
6 5 309976
26 21 289802
16 13 395679
2 12 163623
18 4 229224
19 11 241764
9 11 127701
10 26 246170
22 9 125849
18 1 194887
11 18 112070
21 27 77507
7 20 330286
11 5 222971
4 12 131283
3 24 207918
23 24 71381
19 27 199342
7 22 235057
25 19 332986
18 12 260642
21 28 176091
19 15 359463
28 2 380238
26 23 141555
19 9 315617
7 26 225796
19 2 304417
6 4 249028
11 3 200278
26 3 213429
4 27 140541
18 28 155381
28 10 300594
6 14 215274
24 10 139063
9 4 244855
8 27 254894
2 25 171465
9 18 15631
18 15 213864
19 28 144605
10 6 234293
10 21 147045
25 4 264092
23 9 80862
19 22 265287
8 19 280518
26 13 190961
15 13 304073
24 2 218707
3 2 65343
9 17 120885
10 1 234139
4 22 339442
27 5 313963
24 9 21781
12 16 238200
1 8 118422
25 7 211050
26 15 120245
25 26 76960
7 5 289485
11 4 182963
19 17 260323
15 12 199304
10 4 84011
2 9 240488
12 21 68249
10 20 220059
14 20 150343
1 9 189554
5 8 179887
12 5 219011
7 16 507108
13 28 259134
21 7 435318
11 28 153335
18 14 146810
18 6 89080
25 6 246381
28 23 200174
9 6 73449
1 12 172989
6 13 222259
1 3 215653
10 3 81849
20 4 224763
25 11 241559
10 14 200969
15 28 273564
21 13 225728
26 6 169421
24 6 95230
7 11 401442
28 5 308714
19 5 265739
6 27 198900
23 14 187408
16 5 217623
15 2 128180
28 25 230279
26 4 330181
5 18 241363
12 9 271207
17 21 285505
9 25 193548
13 27 196791
16 18 348102
19 1 333148
18 23 65231
6 17 173718
18 2 224857
9 7 342384
17 18 105254
25 15 43285
14 2 202572
22 14 55114
9 20 153544
20 16 412203
1 16 375242
16 22 313403
20 26 196196
6 1 263003
22 8 15231
28 24 161531
21 3 228894
23 15 151435
27 20 213315
24 22 116368
10 13 297213
21 19 121835
17 13 195258
23 1 177750
4 21 63034
13 9 204764
12 6 304638
17 22 13558
20 5 234578
8 24 131599
Case #195: 11
7 8 384217
1 7 104780
5 4 262188
7 2 250997
3 1 286605
6 8 670459
5 8 267843
4 3 512243
6 1 181462
2 1 355777
4 8 5655
Case #196: 188
10 26 235168
10 22 330354
1 15 327276
19 22 112086
6 14 318825
32 25 277458
23 37 31628
21 12 152034
31 37 152087
21 30 133181
31 17 124539
8 2 581937
7 24 116563
36 10 173703
10 13 414751
15 5 240726
33 24 186312
37 29 315841
39 29 337138
37 11 128715
6 7 117761
33 37 204432
19 14 258393
26 25 287682
23 1 205453
2 34 346335
41 1 228026
31 29 366088
20 1 276299
39 15 174748
10 5 363999
1 22 200265
4 24 229408
22 21 172524
39 1 152528
42 34 219572
38 41 296546
38 6 413966
8 30 362570
21 13 138351
39 8 424604
37 3 79343
30 39 72217
41 29 249046
39 19 264457
38 8 628553
19 15 259922
32 7 119992
1 19 298667
4 5 40487
32 11 344625
17 14 278527
35 33 223517
32 34 189507
36 41 243332
40 10 266115
19 33 280945
28 2 426105
26 3 135428
32 42 359098
2 18 297156
38 39 404009
24 10 208767
1 40 266216
32 29 401468
35 36 254113
10 12 146074
27 7 37698
36 19 310329
6 40 123645
29 4 304496
34 9 378376
29 15 369112
41 3 7936
6 1 142571
3 10 284964
35 6 218198
20 22 175301
16 2 340045
41 7 32430
15 33 238117
24 25 141512
27 3 13204
9 2 586590
42 8 345031
23 17 121908
29 26 376538
16 10 299711
5 36 241143
8 20 311016
16 9 384666
11 5 59497
3 18 69686
19 37 214949
17 25 19321
30 36 159589
36 28 130099
22 37 102863
39 18 94210
21 36 254186
29 38 545592
16 12 184555
21 26 154218
26 42 350040
3 25 152254
11 15 300223
32 41 152422
19 42 130808
24 11 248418
17 5 216582
4 18 119362
16 31 93476
2 21 288242
19 24 208117
32 19 301114
17 24 122191
12 42 203180
5 2 235667
4 23 141333
4 8 319467
9 12 450382
13 19 341049
36 6 203179
16 38 372010
9 14 555042
35 18 183088
41 37 71407
39 28 118059
25 8 405263
7 26 175794
14 7 315910
4 15 281213
35 4 266613
6 22 197373
3 23 110971
11 6 223225
30 32 274749
37 9 380609
42 25 131621
25 33 327824
10 32 374816
31 33 283190
32 17 296779
33 5 135214
9 3 317138
11 36 300640
30 35 136024
24 12 225313
42 14 127585
15 32 288360
24 20 47265
13 9 436699
21 15 146792
15 37 201544
19 40 150769
4 37 109705
11 4 19010
6 31 135432
30 38 418873
28 14 310828
5 13 268122
1 21 217172
8 35 300956
42 41 206676
34 14 347157
21 29 259900
28 13 289021
24 9 355695
32 35 273760
30 13 249824
8 32 500306
25 1 202190
8 41 347884
39 31 125475
18 33 214089
3 19 221488
2 11 295164
30 25 121879
34 28 92350
14 20 246612
20 26 258890
19 25 255099
34 36 222449
39 3 102592
28 17 187042
39 13 234960
6 26 247977
31 10 305645
Case #197: Impossible
Case #198: 880
1 29 123481
41 17 135778
41 40 101077
39 26 79032
23 17 97631
40 45 128263
28 18 35912
27 39 95790
13 14 74039
4 11 149766
44 37 123422
11 30 155719
41 2 48615
38 31 81482
40 32 142832
41 6 55175
43 33 124316
46 32 101889
46 5 32274
6 37 126420
35 3 93660
30 33 189271
33 14 131510
11 33 149365
5 12 135005
19 25 214667
40 14 81392
23 14 114270
18 44 163274
12 33 163135
20 28 136302
1 28 113290
14 4 25783
41 11 159083
5 17 136661
27 6 86357
17 18 13461
9 28 51507
24 17 106835
1 41 37979
45 9 143775
45 5 128039
19 46 30629
32 30 174586
39 35 141035
27 10 116995
18 37 77994
12 29 110337
39 10 165601
43 8 49027
37 39 143473
5 25 195658
13 46 87662
43 30 126751
16 15 190871
30 29 243014
13 41 67721
31 27 176860
22 4 104468
45 33 40507
24 19 140480
8 17 148335
27 29 129934
12 2 188318
15 29 179664
25 4 205890
36 35 137075
41 20 60991
7 11 122359
16 31 185580
11 42 93558
44 23 171502
45 46 137863
40 12 123355
14 45 124240
15 32 147328
40 30 129554
2 5 87514
32 39 159872
13 37 138966
4 43 14648
1 24 141205
9 15 144309
9 22 119986
9 42 117184
2 14 68863
26 18 145600
3 37 48027
3 12 159658
8 3 163142
31 25 286819
6 19 37081
4 46 39406
35 45 75342
7 41 78408
7 46 44537
7 12 89639
46 14 13623
11 20 164183
6 21 92215
12 19 155810
15 33 111817
16 42 178138
23 40 148530
19 2 85869
39 30 208870
13 18 205510
24 46 109851
22 40 102335
10 8 110509
45 3 149642
33 46 117887
19 16 127808
12 32 146905
12 16 147296
9 14 137943
7 16 150988
13 26 66613
40 38 97992
23 42 140857
13 45 167676
26 30 130460
25 46 194865
43 19 23425
20 3 180263
3 23 193187
32 28 105254
38 27 127954
19 15 76068
9 30 179345
14 25 208488
33 22 61963
36 46 54023
42 38 81965
12 21 148868
42 6 152817
39 38 97320
18 6 159594
43 28 113211
28 2 146667
23 15 167982
23 2 183133
37 28 69980
17 2 169118
36 22 144252
41 35 116878
31 40 146898
35 29 175179
8 23 137892
41 24 143722
42 46 163476
28 5 114210
22 29 183655
35 6 131602
31 42 130871
7 6 93087
25 35 202303
23 13 188309
17 27 118401
9 3 169514
2 13 116336
15 24 177186
15 6 93989
30 16 168236
42 15 158479
19 41 37254
38 22 72197
33 3 116150
10 24 168953
22 32 128831
24 38 100672
32 43 47835
31 28 65194
3 40 168867
12 46 134176
16 29 140993
11 31 37313
25 2 275233
34 4 52885
38 17 38739
8 25 223079
14 8 23622
32 1 91145
5 30 141685
29 45 207444
1 42 153710
17 42 88128
44 14 57232
20 18 172214
44 22 135917
44 28 130604
10 13 175375
42 28 65677
33 21 78444
35 4 122458
28 36 159238
36 34 72059
23 35 170787
24 14 123474
5 26 11225
9 8 161565
9 1 145781
27 42 135887
5 24 142125
18 43 117177
15 26 66488
8 19 25602
46 20 54366
21 27 111052
32 36 138981
10 9 136076
37 26 98919
4 10 106156
4 12 164587
3 34 181474
36 9 178343
43 27 91861
10 11 112450
3 31 183201
9 38 67795
45 2 69797
10 26 124513
43 20 66322
21 22 130794
7 9 79783
40 35 75207
38 13 185886
16 18 145299
37 7 149653
43 21 45872
44 36 107947
39 31 146226
9 2 180992
2 16 188374
36 45 174955
7 18 130390
40 24 157734
31 18 101106
26 40 88818
43 9 164718
44 4 31449
29 43 146181
23 43 154701
38 8 145950
38 30 144126
10 41 110713
24 30 212222
35 33 34835
32 20 114157
18 34 173425
30 27 159516
35 2 133848
28 15 92802
42 18 101589
25 26 206883
31 36 168670
13 22 152724
8 29 129372
1 7 75891
10 44 120033
44 35 124107
3 13 186993
22 12 110130
32 11 133135
8 26 16196
5 19 20805
13 25 206862
3 11 145888
34 38 153801
25 41 226618
1 23 132001
2 36 134430
10 1 134818
13 4 84970
1 25 196578
40 16 38682
9 13 200249
11 18 63793
31 45 157462
34 6 41419
32 26 80840
39 14 71606
29 34 147704
31 19 178302
24 39 51868
42 24 150061
13 36 104144
30 8 146482
36 3 205087
35 22 27128
18 1 149202
15 31 102234
19 36 67721
20 19 42897
13 20 33296
21 42 64528
34 13 34507
36 24 163874
37 30 197818
14 6 34927
35 5 115326
40 8 105014
44 46 70855
8 2 92485
44 20 83123
5 20 22092
8 21 68799
45 39 173300
11 36 131357
45 12 133919
26 9 145369
28 19 133175
11 13 197479
39 1 89337
46 43 54054
32 9 156761
29 21 192053
3 26 146946
37 11 97861
43 11 141092
34 35 129705
14 1 17731
26 7 65586
18 25 257537
40 19 89126
12 26 146230
21 5 90102
4 7 83943
7 44 115392
3 38 101719
28 3 118007
20 4 51674
37 27 90878
26 16 127500
12 9 9856
39 40 125752
13 27 125469
36 1 47836
12 23 33529
2 44 100792
31 30 193032
41 14 20248
28 35 95607
42 39 146709
8 46 37245
29 19 122756
32 34 115368
3 16 207549
12 38 57939
20 25 173566
46 41 33871
35 46 83052
10 22 98878
39 2 140469
36 8 74337
30 22 196317
28 6 130486
4 31 187079
29 31 180370
22 17 46028
6 26 27501
19 37 108499
18 46 166649
11 5 142091
27 2 120293
6 13 73504
22 11 96360
5 38 130498
25 29 286992
45 23 167448
23 6 149197
15 40 152189
26 19 9580
1 44 60111
23 18 111092
34 1 24223
7 19 75166
2 33 99013
14 11 138835
41 26 27674
37 17 64533
38 19 120348
5 15 77713
46 29 92127
41 18 149239
8 22 102307
13 40 155431
9 18 87419
27 34 93384
10 38 100857
32 19 71260
40 33 110042
6 12 153121
27 4 77213
35 42 90642
34 37 133447
35 38 99325
15 34 101016
35 9 147114
39 25 252848
16 25 205844
46 16 106451
42 40 139456
7 8 81782
46 21 99926
15 2 142777
34 44 84334
34 46 55577
41 27 71678
25 12 263276
6 33 161295
44 5 61031
14 7 58160
36 23 154670
4 8 34379
16 6 155001
23 11 103061
33 16 148724
21 17 84766
36 17 181689
4 29 131533
33 34 164540
31 44 195798
30 36 188601
24 6 158401
12 24 42733
39 23 42664
16 14 120074
35 32 111316
15 13 133101
40 11 109585
26 34 34528
36 42 201546
45 15 152324
20 10 142079
41 39 91854
43 15 99493
22 42 117770
40 20 122135
28 41 141225
4 6 45858
36 14 65567
32 7 146426
10 40 120564
13 8 82809
7 24 65314
2 46 82486
13 16 194113
11 12 69532
8 42 129401
26 4 18357
6 36 65032
10 17 107020
30 23 203018
8 12 162426
19 10 114933
29 9 100481
32 17 82803
22 26 86111
17 1 135741
23 7 56110
1 12 135925
7 42 160155
22 31 133673
43 44 46097
13 29 179789
26 42 143405
18 30 163750
7 17 116929
38 7 108301
4 21 60520
3 7 197680
16 41 139759
21 25 253918
20 36 70848
19 11 140989
39 6 106533
8 20 49513
35 1 114406
21 41 106551
39 20 112349
35 19 113681
5 9 144861
28 12 41651
1 22 96416
15 21 145365
33 37 68123
16 38 136674
19 45 107234
10 31 149763
44 3 171449
33 13 199047
34 10 140868
34 7 100114
39 44 128838
11 9 79388
2 30 181446
31 14 176148
23 19 131276
26 21 78877
44 26 49806
42 12 107328
40 9 124857
37 36 157060
26 23 121696
19 44 40226
38 44 143020
24 35 179991
8 5 27421
13 30 197073
19 27 68436
10 21 45636
9 24 32877
18 5 150122
4 2 80580
23 24 9204
44 41 52177
3 41 119272
24 11 112265
43 14 40431
41 9 158191
36 21 137018
28 33 121484
5 29 124401
21 19 69297
19 3 156526
23 16 113767
45 38 108556
3 46 153143
41 12 168047
39 22 149511
27 1 69161
43 3 161503
30 44 80654
26 46 21049
30 34 164988
9 31 116701
26 45 116814
43 37 131924
37 35 45633
3 25 138287
17 9 73958
25 40 167162
1 30 140765
43 41 60679
31 34 202707
33 9 172991
6 32 90252
43 34 67533
14 19 17006
27 22 72373
28 14 131021
10 36 182654
3 29 225644
30 42 171248
15 7 132074
5 3 158171
25 36 244414
38 14 137354
46 31 189771
44 33 156948
30 20 163777
37 14 91493
21 44 91969
29 39 34144
10 30 152356
17 4 145286
9 20 166953
32 16 181514
14 20 40743
24 28 84384
21 40 140869
4 5 29582
42 2 80990
26 35 104101
20 17 158753
24 29 86012
34 28 137513
37 22 18505
17 28 22451
7 2 127023
45 44 127732
9 4 158124
8 34 50724
39 36 112006
23 27 138454
46 27 37807
42 29 180853
37 8 115115
16 10 159246
23 31 140374
21 18 71305
23 29 76808
16 21 179551
46 37 105116
27 11 139547
35 30 204761
6 5 18116
13 39 145645
3 17 112560
20 2 109606
17 15 115253
30 7 196046
7 28 94478
21 34 113405
23 32 171903
21 35 113279
4 28 127859
39 15 145520
11 17 50332
15 1 76793
13 17 192049
8 28 139791
37 12 111631
4 45 98457
20 24 164217
32 29 194016
40 17 104155
43 25 220538
12 39 76193
20 22 119428
34 41 62202
12 15 134453
38 32 121542
40 29 159896
22 14 93537
16 43 133679
24 37 154364
39 34 113560
21 28 107217
2 31 211861
5 7 76811
4 32 62483
26 43 33005
1 43 43310
45 41 118412
1 31 178484
26 28 123595
40 46 67769
5 10 135738
24 4 149257
12 34 158308
40 27 29962
11 21 135098
46 9 124320
33 19 147741
2 11 174548
18 12 77563
27 5 70081
31 43 178405
29 38 131464
1 33 149241
30 15 196948
41 22 89750
4 40 80349
15 27 122227
35 8 120297
14 5 18651
7 27 82344
39 4 97389
3 1 157251
33 5 150161
39 43 112037
20 45 134380
25 24 294727
18 3 126021
34 20 1211
24 18 120296
22 18 59489
16 36 160474
11 45 120149
16 4 119031
10 2 62098
7 45 182400
32 31 170448
18 4 131825
16 11 148267
32 25 251955
16 8 143696
5 32 92065
5 22 97336
18 14 153026
39 5 90257
19 30 120880
7 35 127589
27 8 75052
16 44 87582
15 3 148812
46 38 150977
3 2 167887
44 40 48900
18 38 52200
14 17 139565
18 35 86617
45 22 102470
33 18 121452
35 27 45245
22 43 119116
17 31 87645
30 21 172623
36 27 91830
32 27 113015
43 12 154862
29 10 199745
41 30 132831
1 6 17196
40 2 149692
20 33 165751
18 40 117616
29 41 125998
28 13 169598
8 18 136178
42 13 194267
13 32 147453
36 26 58141
38 41 124937
20 15 99805
5 37 110144
20 21 112194
16 28 120386
13 1 56308
8 41 43870
15 25 273371
29 17 137627
25 9 261850
32 10 43673
25 22 204819
14 12 147799
15 22 104110
9 6 162977
4 38 111571
26 20 33317
4 33 138964
21 1 89182
28 10 84569
20 6 40208
12 13 190393
4 23 140053
19 34 44108
21 13 145490
45 16 166945
39 33 175870
37 45 108630
4 15 84845
28 23 75180
10 3 153065
9 37 121487
38 26 129928
36 12 183761
36 7 98560
21 7 144463
38 43 96923
4 37 117276
15 35 76982
33 29 210014
11 29 143057
18 32 69342
5 1 920
15 36 66436
27 14 51430
20 27 92173
42 25 265035
22 24 152863
46 28 139015
25 30 93787
25 6 213774
38 21 123505
45 28 92268
20 38 152590
38 33 121815
38 25 237913
31 26 168722
2 22 138365
26 11 131409
5 13 55388
44 15 116294
11 15 64921
2 18 175113
28 27 111666
43 7 98591
7 29 47590
5 41 38899
24 3 202391
12 10 126220
4 42 125048
40 28 81704
34 22 120639
17 43 130638
20 7 98903
31 6 195680
2 37 119860
24 44 180706
30 14 137886
38 36 175526
19 17 141719
45 10 7699
42 14 149853
12 20 157097
30 45 160055
43 35 137106
2 26 76289
30 46 151509
23 9 23673
42 10 18892
32 14 88266
14 3 139520
37 31 135174
27 24 147658
21 31 172411
43 45 83809
35 11 123488
44 13 116419
34 16 162028
22 7 151697
13 7 132199
45 24 176652
2 29 174613
14 21 86303
7 10 179047
17 12 64102
18 36 195150
38 11 44169
4 1 28662
5 31 179404
3 27 138905
8 39 95228
38 37 53692
33 36 171910
46 15 87537
27 33 80080
8 31 184918
23 37 145160
6 22 113612
34 45 133169
1 8 26501
34 24 165428
14 26 7426
10 25 246143
18 45 105316
7 31 159672
46 1 31354
23 25 285523
46 6 48550
11 25 249506
9 16 137440
10 18 113015
8 15 82684
6 10 133925
45 32 35974
42 37 123930
41 32 108514
1 19 19885
22 23 143659
11 6 158367
20 23 155013
32 33 76481
12 35 137258
21 37 146567
14 10 130961
46 11 152458
25 17 244076
16 37 159522
9 39 66337
44 9 173757
18 19 140602
28 25 221625
34 2 110817
40 5 100043
2 38 162855
27 26 58856
17 45 114719
33 23 196664
23 34 156224
37 32 144604
29 37 177617
3 39 191500
3 32 113668
20 1 23012
14 29 105750
7 39 13446
Case #199: Impossible
Case #200: Impossible
Case #201: 246
11 7 100084
40 31 136183
30 16 182174
3 18 210949
25 4 137593
18 2 186678
1 39 195146
17 31 317890
19 12 324105
26 42 266036
20 39 132258
39 16 249202
31 12 120848
42 28 315724
6 27 132351
40 14 133796
29 1 183295
14 2 373885
12 30 164698
29 19 235383
30 18 184097
24 18 205328
31 29 199333
13 17 203939
36 26 119891
5 10 262482
38 18 80457
14 35 384223
27 11 119837
42 8 272267
24 31 216180
32 42 288670
3 42 287893
41 7 121596
23 19 220105
38 39 212029
9 41 38526
19 14 295058
38 12 133022
6 35 317297
30 41 58139
24 42 313789
28 3 78921
17 39 255151
9 37 140891
28 13 123609
23 1 261533
15 12 140349
24 33 150549
24 35 230093
2 29 344759
15 33 156767
31 14 216904
15 2 299022
8 15 113149
4 33 136095
40 16 164673
22 10 212875
42 10 335513
4 31 120716
14 17 319729
28 38 157842
25 39 133786
11 1 198277
26 11 70934
4 12 162844
22 28 102245
6 11 86338
33 27 54739
26 32 118600
17 1 307154
38 27 116696
35 36 240208
6 13 121251
15 31 196202
35 32 312993
36 32 91421
32 9 64679
42 4 330264
23 24 200064
25 16 209704
40 42 241928
8 33 91656
21 36 103971
25 9 47144
36 9 65970
36 38 152129
17 20 180038
34 22 215737
10 28 162339
40 1 183377
39 36 152612
9 27 102824
23 26 191927
32 41 103204
1 24 194307
25 1 189180
24 29 135588
14 41 174434
27 26 117426
25 6 22181
32 15 121744
18 35 347850
26 14 157904
10 36 156626
26 37 86970
38 1 78134
13 29 185897
18 19 291440
25 26 101065
3 29 141209
37 27 194735
17 16 258676
14 23 273915
30 8 47840
41 15 131862
25 37 188035
14 8 164135
31 2 224146
34 37 237909
28 33 95885
23 28 151952
33 21 139394
29 34 212257
21 37 262396
35 34 259655
6 32 39716
38 3 156690
4 34 124530
25 17 230964
27 41 134905
42 9 244041
18 41 170816
5 11 149611
18 1 158591
39 34 202431
19 27 255529
18 7 234193
29 6 164068
4 10 220333
31 18 75271
14 13 227077
39 41 125167
1 36 115294
16 24 193227
19 32 223828
21 32 195392
18 32 229162
35 33 307291
32 8 92905
20 9 52670
30 19 178763
38 4 198052
38 22 195829
33 38 61957
6 1 211361
25 29 141887
24 10 217003
11 13 108167
29 38 220130
8 2 315836
19 6 228474
13 12 236238
13 8 119380
13 27 154750
5 24 198954
19 20 211819
27 8 131050
37 35 339283
22 31 202813
